refseq_ncrna	transcript_biotype
	Mt_tRNA
	Mt_rRNA
	protein_coding
	unprocessed_pseudogene
	processed_pseudogene
	TR_V_pseudogene
	TEC
	lincRNA
	antisense
	processed_transcript
NR_045306	processed_transcript
NR_073373	lincRNA
NR_033636	lincRNA
	transcribed_unprocessed_pseudogene
	pseudogene
	nonsense_mediated_decay
	retained_intron
NR_040760	lincRNA
NR_033639	processed_pseudogene
	TR_V_gene
	sense_intronic
NR_015560	lincRNA
NR_027894	antisense
NR_015487	antisense
NR_040636	lincRNA
NR_131052	processed_transcript
NR_040746	antisense
	transcribed_processed_pseudogene
NR_029433	sense_overlapping
	sense_overlapping
NR_033430	lincRNA
NR_015551	antisense
NR_125722	lincRNA
NR_130155	lincRNA
NR_015596	antisense
NR_030694	antisense
NR_040445	lincRNA
NR_131979	antisense
NR_040401	lincRNA
	polymorphic_pseudogene
NR_040444	antisense
NR_015602	processed_transcript
NR_028391	antisense
NR_046185	lincRNA
NR_136906	lincRNA
NR_136904	lincRNA
NR_027892	antisense
NR_045813	antisense
NR_015485	lincRNA
NR_036696	lincRNA
NR_030669	antisense
NR_045390	lincRNA
NR_045945	antisense
	bidirectional_promoter_lncRNA
NR_046064	lincRNA
NR_045079	lincRNA
NR_045912	antisense
NR_122039	processed_transcript
NR_040732	antisense
NR_040639	lincRNA
NR_110517	antisense
NR_033571	antisense
	unitary_pseudogene
NR_040417	lincRNA
	scRNA
NR_130173	lincRNA
NR_040507	lincRNA
NR_040652	processed_transcript
	non_stop_decay
NR_045333	lincRNA
NR_040481	lincRNA
NR_033590	processed_pseudogene
NR_003631	processed_transcript
NR_002874	antisense
NR_045984	lincRNA
NR_033536	antisense
NR_040521	processed_transcript
NR_040522	processed_transcript
NR_073374	processed_transcript
NR_027963	processed_transcript
NR_040301	lincRNA
NR_040302	lincRNA
NR_110455	lincRNA
NR_015492	lincRNA
NR_003632	processed_transcript
NR_045776	processed_transcript
NR_040368	antisense
NR_102276	lincRNA
NR_040510	processed_transcript
	TR_D_gene
	TR_J_gene
NR_033588	lincRNA
NR_015479	antisense
NR_033653	transcribed_processed_pseudogene
NR_040492	lincRNA
NR_045939	lincRNA
NR_137274	sense_overlapping
NR_015351	antisense
NR_015456	antisense
NR_028307	processed_pseudogene
NR_037581	processed_transcript
NR_024085	processed_transcript
NR_108041	processed_transcript
NR_024331	antisense
NR_045300	antisense
NR_045075	lincRNA
NR_028107	antisense
NR_130644	antisense
NR_045509	lincRNA
NR_040690	lincRNA
NR_033493	antisense
NR_033141	lincRNA
NR_036456	lincRNA
NR_036457	lincRNA
NR_131031	processed_transcript
	TR_C_gene
NR_040695	antisense
NR_040543	lincRNA
NR_045811	lincRNA
NR_040659	lincRNA
NR_033610	processed_pseudogene
NR_015537	retained_intron
NR_110471	lincRNA
NR_040717	lincRNA
NR_110469	lincRNA
NR_015542	processed_transcript
NR_037993	sense_intronic
	TR_J_pseudogene
NR_046043	antisense
NR_077224	lincRNA
NR_045874	antisense
NR_002867	antisense
NR_045917	antisense
NR_038151	lincRNA
NR_046037	lincRNA
NR_015388	antisense
NR_002839	TEC
NR_038168	lincRNA
NR_126547	antisense
NR_102289	antisense
NR_045289	antisense
NR_045835	antisense
NR_131110	antisense
NR_110961	processed_transcript
NR_040547	lincRNA
NR_040557	lincRNA
NR_040486	lincRNA
NR_040490	lincRNA
NR_040487	retained_intron
NR_040491	retained_intron
NR_033147	processed_transcript
NR_040534	transcribed_processed_pseudogene
NR_001584	antisense
NR_040706	lincRNA
NR_126153	processed_transcript
NR_136927	processed_transcript
NR_046045	antisense
NR_126070	lincRNA
NR_045504	lincRNA
NR_046040	lincRNA
NR_015556	lincRNA
NR_038183	lincRNA
NR_108098	lincRNA
NR_028579	bidirectional_promoter_lncRNA
NR_040276	lincRNA
NR_040257	lincRNA
NR_040258	lincRNA
NR_045305	antisense
NR_040701	lincRNA
NR_137202	antisense
NR_040494	lincRNA
NR_040329	antisense
NR_040441	processed_transcript
NR_040705	lincRNA
NR_102285	retained_intron
NR_040439	lincRNA
NR_102393	processed_transcript
NR_045906	lincRNA
NR_126079	processed_transcript
NR_126329	lincRNA
NR_045366	antisense
NR_038045	lincRNA
NR_030715	lincRNA
NR_077223	lincRNA
NR_033543	antisense
NR_004447	processed_pseudogene
NR_046017	antisense
NR_131254	lincRNA
NR_131098	lincRNA
NR_131099	lincRNA
NR_038182	antisense
NR_046026	lincRNA
NR_037997	lincRNA
NR_002870	antisense
NR_036593	lincRNA
NR_040691	antisense
NR_040674	lincRNA
NR_040450	lincRNA
NR_045738	lincRNA
NR_045847	lincRNA
NR_040562	antisense
NR_102296	retained_intron
NR_045827	antisense
NR_131126	antisense
NR_015613	lincRNA
NR_136920	lincRNA
NR_111916	retained_intron
NR_033467	lincRNA
NR_131111	antisense
NR_003634	processed_transcript
NR_131068	lincRNA
NR_015512	lincRNA
NR_029457	processed_transcript
NR_137283	processed_transcript
NR_045068	antisense
NR_015504	lincRNA
NR_033780	antisense
NR_131135	lincRNA
NR_045865	lincRNA
NR_126579	antisense
NR_001585	antisense
NR_110444	lincRNA
NR_038149	lincRNA
NR_102306	lincRNA
NR_102307	lincRNA
NR_045799	sense_intronic
NR_002858	processed_transcript
NR_040637	lincRNA
NR_131048	processed_transcript
NR_110365	antisense
NR_110364	antisense
NR_137201	processed_transcript
NR_027915	antisense
NR_131335	lincRNA
NR_002322	antisense
NR_045394	processed_transcript
NR_045393	processed_transcript
NR_110490	antisense
NR_002321	antisense
NR_126066	antisense
NR_045974	lincRNA
NR_126089	processed_transcript
NR_045367	antisense
NR_040343	antisense
NR_045190	lincRNA
NR_046279	lincRNA
NR_037998	lincRNA
NR_033611	processed_pseudogene
NR_045488	lincRNA
NR_110437	lincRNA
NR_015588	antisense
NR_045323	lincRNA
NR_028447	processed_transcript
NR_045973	lincRNA
NR_045345	lincRNA
NR_028449	retained_intron
NR_138563	antisense
NR_028448	retained_intron
NR_046006	bidirectional_promoter_lncRNA
NR_027846	lincRNA
NR_033580	processed_transcript
NR_126545	lincRNA
NR_126546	lincRNA
NR_033592	transcribed_processed_pseudogene
NR_027875	lincRNA
NR_045887	lincRNA
NR_040300	lincRNA
NR_045477	processed_transcript
NR_046192	antisense
NR_040278	bidirectional_promoter_lncRNA
NR_040526	lincRNA
NR_126084	lincRNA
NR_037980	antisense
NR_130767	processed_transcript
NR_026924	lincRNA
NR_040512	processed_transcript
NR_051999	retained_intron
NR_126552	sense_intronic
NR_030763	processed_transcript
	translated_processed_pseudogene
NR_045436	processed_transcript
NR_040376	bidirectional_promoter_lncRNA
NR_046190	lincRNA
NR_040327	lincRNA
NR_028125	antisense
NR_040709	lincRNA
NR_104577	antisense
NR_037679	antisense
NR_015589	lincRNA
NR_045995	lincRNA
NR_028066	lincRNA
NR_045975	lincRNA
NR_026990	antisense
NR_045120	processed_transcript
NR_038085	antisense
NR_026843	antisense
NR_040683	lincRNA
NR_040682	lincRNA
NR_046181	lincRNA
NR_040704	antisense
NR_045321	lincRNA
NR_102312	lincRNA
	IG_C_gene
NR_015599	lincRNA
NR_130345	lincRNA
NR_045867	lincRNA
NR_131108	lincRNA
NR_045946	lincRNA
NR_045613	processed_transcript
NR_045868	lincRNA
NR_045870	lincRNA
NR_038299	unprocessed_pseudogene
NR_040520	lincRNA
NR_040326	lincRNA
NR_030673	lincRNA
NR_131974	TEC
	IG_C_pseudogene
NR_033561	antisense
NR_004441	processed_transcript
NR_040610	antisense
NR_027975	sense_overlapping
NR_130637	lincRNA
NR_045457	antisense
NR_040367	antisense
NR_131024	lincRNA
NR_110440	lincRNA
NR_132432	antisense
NR_110443	antisense
NR_040509	lincRNA
NR_037995	antisense
NR_045884	antisense
NR_045336	lincRNA
NR_015458	lincRNA
NR_046063	lincRNA
NR_045856	lincRNA
NR_045748	lincRNA
NR_110449	antisense
NR_131089	lincRNA
NR_103491	processed_transcript
NR_033473	processed_transcript
NR_040503	lincRNA
NR_131181	antisense
NR_102348	lincRNA
NR_102349	lincRNA
NR_040716	lincRNA
NR_033567	antisense
NR_131001	lincRNA
NR_073361	antisense
NR_045988	antisense
NR_045435	antisense
NR_045283	processed_transcript
NR_015562	antisense
NR_045194	antisense
NR_131154	lincRNA
NR_015545	antisense
NR_040452	processed_transcript
NR_027876	retained_intron
NR_045997	antisense
NR_015457	antisense
NR_045099	processed_transcript
NR_015541	processed_transcript
NR_040321	antisense
NR_040539	lincRNA
NR_040414	processed_transcript
NR_027945	processed_transcript
NR_027944	processed_transcript
NR_033497	antisense
NR_015604	processed_transcript
NR_045304	lincRNA
NR_033786	lincRNA
NR_045264	antisense
NR_015611	antisense
NR_131182	antisense
NR_102298	lincRNA
NR_102297	lincRNA
NR_045838	lincRNA
NR_130991	lincRNA
NR_027957	processed_transcript
NR_046065	antisense
	IG_J_gene
NR_038186	lincRNA
NR_038042	lincRNA
NR_027971	antisense
NR_027972	antisense
NR_040293	lincRNA
NR_040292	lincRNA
NR_110583	antisense
NR_033608	transcribed_processed_pseudogene
NR_040371	processed_transcript
NR_015503	processed_transcript
NR_002847	lincRNA
NR_040553	lincRNA
NR_015474	antisense
NR_040530	antisense
NR_038079	lincRNA
NR_040399	lincRNA
NR_040398	lincRNA
NR_040400	lincRNA
NR_027798	antisense
NR_027797	antisense
NR_037960	antisense
NR_037961	antisense
NR_045008	lincRNA
NR_138557	lincRNA
NR_125870	processed_transcript
NR_045805	antisense
NR_040508	antisense
NR_131212	lincRNA
NR_029444	TEC
NR_003596	lincRNA
NR_001586	lincRNA
	IG_D_gene
NR_040555	lincRNA
NR_040615	lincRNA
NR_040369	lincRNA
NR_027964	TEC
NR_131924	antisense
NR_001463	lincRNA
NR_002844	antisense
NR_040366	retained_intron
NR_040413	lincRNA
NR_045930	processed_transcript
NR_037906	retained_intron
NR_027643	lincRNA
NR_015493	lincRNA
NR_046001	antisense
NR_027865	lincRNA
NR_027507	processed_transcript
NR_003624	processed_transcript
NR_110979	processed_transcript
NR_028592	antisense
NR_108026	antisense
NR_045313	antisense
NR_046272	lincRNA
NR_045707	antisense
NR_045389	lincRNA
NR_040550	lincRNA
NR_026733	lincRNA
	IG_D_pseudogene
	IG_pseudogene
NR_027824	lincRNA
NR_033324	processed_transcript
NR_015522	lincRNA
NR_045363	lincRNA
NR_045472	lincRNA
NR_073015	antisense
NR_040663	lincRNA
	IG_V_gene
NR_045627	antisense
NR_040640	lincRNA
NR_126461	antisense
NR_040708	lincRNA
NR_002846	antisense
NR_040277	antisense
NR_126558	bidirectional_promoter_lncRNA
NR_131013	bidirectional_promoter_lncRNA
NR_015527	antisense
NR_110972	processed_transcript
NR_040644	lincRNA
NR_045348	lincRNA
NR_045399	lincRNA
NR_045322	antisense
NR_037989	lincRNA
NR_045332	lincRNA
NR_027976	retained_intron
NR_015508	lincRNA
NR_130158	lincRNA
NR_027952	processed_transcript
NR_015549	processed_transcript
NR_045384	lincRNA
NR_040352	lincRNA
NR_003522	processed_transcript
NR_003962	processed_transcript
NR_015568	processed_transcript
NR_045976	lincRNA
	IG_V_pseudogene
NR_027808	processed_transcript
	transcribed_unitary_pseudogene
NR_029468	lincRNA
NR_110362	processed_transcript
NR_027900	antisense
NR_126460	lincRNA
NR_040734	lincRNA
NR_110342	processed_transcript
NR_033546	lincRNA
NR_040578	lincRNA
NR_046015	lincRNA
NR_045854	lincRNA
NR_033582	lincRNA
NR_130985	lincRNA
NR_073360	lincRNA
NR_045708	processed_transcript
NR_045109	processed_transcript
NR_144294	antisense
NR_002879	unprocessed_pseudogene
NR_045467	lincRNA
NR_028381	lincRNA
NR_040280	lincRNA
NR_028380	lincRNA
NR_102714	antisense
NR_033550	antisense
NR_126063	antisense
NR_131065	lincRNA
NR_033214	processed_transcript
NR_126451	lincRNA
NR_045898	antisense
NR_003283	antisense
NR_027800	antisense
NR_045461	lincRNA
NR_046050	lincRNA
NR_077238	antisense
NR_077237	antisense
NR_030718	antisense
NR_040744	lincRNA
NR_126080	antisense
NR_033596	processed_pseudogene
NR_040348	processed_transcript
NR_015506	lincRNA
NR_110489	processed_transcript
NR_028382	antisense
NR_102304	lincRNA
NR_102305	lincRNA
NR_046034	antisense
NR_045491	lincRNA
NR_046170	processed_transcript
NR_046169	processed_transcript
NR_040391	lincRNA
NR_045369	antisense
NR_045910	lincRNA
NR_033782	processed_transcript
NR_045168	antisense
NR_040771	lincRNA
NR_045171	processed_transcript
NR_036469	lincRNA
NR_131062	processed_transcript
NR_126067	antisense
NR_040470	lincRNA
NR_045146	antisense
NR_045502	antisense
NR_040560	processed_transcript
NR_040588	antisense
NR_040669	antisense
NR_045965	lincRNA
NR_040538	lincRNA
NR_040749	antisense
NR_015349	processed_transcript
NR_037994	lincRNA
NR_045100	lincRNA
NR_040504	processed_transcript
NR_045739	antisense
NR_045877	antisense
NR_015348	antisense
NR_033614	processed_transcript
NR_045934	antisense
NR_045169	antisense
NR_044992	retained_intron
NR_033547	lincRNA
NR_046067	lincRNA
NR_131760	antisense
NR_045775	antisense
NR_045359	antisense
NR_046036	antisense
NR_046038	lincRNA
NR_126443	lincRNA
NR_126444	lincRNA
NR_033597	processed_pseudogene
NR_040279	antisense
NR_045713	antisense
NR_044988	lincRNA
NR_002857	processed_transcript
NR_045734	antisense
NR_131137	lincRNA
NR_131136	lincRNA
NR_040681	lincRNA
NR_029439	lincRNA
NR_045936	lincRNA
NR_040404	antisense
NR_040645	lincRNA
NR_136913	lincRNA
NR_045413	lincRNA
NR_045411	lincRNA
NR_045412	lincRNA
NR_026741	processed_transcript
NR_045078	lincRNA
NR_045335	lincRNA
NR_027879	bidirectional_promoter_lncRNA
NR_045732	lincRNA
NR_040431	antisense
NR_045195	antisense
NR_015548	antisense
NR_073462	TEC
NR_045478	lincRNA
NR_033612	processed_pseudogene
NR_110442	lincRNA
NR_033522	processed_transcript
NR_033220	processed_transcript
NR_045272	lincRNA
NR_038163	antisense
NR_033558	lincRNA
NR_040475	lincRNA
NR_110510	antisense
NR_130163	lincRNA
NR_040658	lincRNA
NR_040477	lincRNA
NR_037991	lincRNA
NR_045852	processed_transcript
NR_038009	antisense
NR_040385	lincRNA
NR_003270	processed_transcript
NR_002853	antisense
NR_102277	lincRNA
NR_040581	lincRNA
NR_003953	processed_transcript
NR_027955	processed_transcript
NR_040519	antisense
NR_108053	processed_transcript
NR_108051	processed_transcript
NR_040315	processed_transcript
NR_038158	processed_transcript
NR_046049	lincRNA
NR_045745	lincRNA
NR_040485	lincRNA
NR_040484	lincRNA
NR_040737	lincRNA
NR_073362	processed_transcript
NR_045817	lincRNA
NR_027810	lincRNA
NR_045159	lincRNA
NR_045160	lincRNA
NR_027826	lincRNA
NR_045904	lincRNA
NR_136934	antisense
NR_078345	antisense
NR_045757	lincRNA
NR_040600	lincRNA
NR_040619	antisense
NR_045497	lincRNA
NR_040668	lincRNA
NR_040502	lincRNA
NR_040702	lincRNA
NR_038073	lincRNA
NR_015603	processed_transcript
NR_110582	processed_transcript
NR_110581	processed_transcript
NR_045459	lincRNA
NR_029473	antisense
NR_136907	lincRNA
NR_045903	bidirectional_promoter_lncRNA
NR_045056	antisense
	3prime_overlapping_ncRNA
NR_045383	lincRNA
NR_033784	lincRNA
NR_110495	lincRNA
NR_015521	processed_transcript
NR_045508	antisense
NR_033788	antisense
NR_030769	antisense
NR_033673	processed_transcript
NR_045849	antisense
NR_045616	lincRNA
NR_046014	lincRNA
NR_030706	processed_transcript
NR_138578	antisense
NR_003628	processed_transcript
NR_073442	processed_transcript
NR_130904	lincRNA
NR_045468	antisense
NR_040559	lincRNA
NR_028355	retained_intron
NR_126077	antisense
NR_136894	antisense
NR_029450	processed_transcript
NR_040541	lincRNA
NR_033549	lincRNA
NR_038029	lincRNA
NR_028259	lincRNA
NR_040446	antisense
NR_046183	antisense
NR_015577	processed_transcript
NR_024328	antisense
NR_002871	antisense
NR_033554	antisense
NR_045980	lincRNA
NR_040331	processed_transcript
NR_038153	lincRNA
NR_073359	lincRNA
NR_045148	antisense
NR_015525	antisense
NR_045175	antisense
NR_045788	antisense
NR_033551	antisense
NR_033564	antisense
NR_040742	lincRNA
NR_027008	antisense
NR_040753	antisense
NR_028265	lincRNA
NR_045443	lincRNA
NR_045442	lincRNA
NR_045167	lincRNA
NR_040656	lincRNA
NR_045446	antisense
NR_131976	lincRNA
NR_003146	unprocessed_pseudogene
NR_040263	lincRNA
NR_040769	lincRNA
NR_126488	lincRNA
NR_033484	processed_transcript
NR_126490	lincRNA
NR_037959	antisense
NR_045891	lincRNA
NR_045480	lincRNA
NR_040459	lincRNA
NR_027989	lincRNA
NR_038463	antisense
NR_046021	lincRNA
NR_001582	transcribed_processed_pseudogene
NR_027506	processed_transcript
NR_138569	lincRNA
NR_045324	lincRNA
NR_045325	lincRNA
NR_045694	lincRNA
NR_027984	processed_transcript
NR_105027	antisense
NR_040623	antisense
NR_073027	antisense
NR_073028	antisense
NR_045471	bidirectional_promoter_lncRNA
NR_027652	lincRNA
NR_040476	antisense
NR_029475	processed_transcript
NR_045045	lincRNA
NR_131017	antisense
NR_027901	antisense
NR_033505	processed_transcript
NR_045885	antisense
NR_027316	processed_transcript
NR_110516	lincRNA
NR_040447	lincRNA
NR_045455	processed_transcript
NR_045456	processed_transcript
NR_040472	lincRNA
NR_040627	lincRNA
NR_033199	TEC
NR_045982	lincRNA
