V1	V2	V3	V4	V5	V6	refSeqTranscriptName	id	geneName
chr1	134199214	134202950	NM_001282945_utr3_0_0_chr1_134199215_r	0	-	NM_001282945	chr1_134199214_134202950	Adora1
chr1	134199214	134202950	NM_001291930_utr3_0_0_chr1_134199215_r	0	-	NM_001291930	chr1_134199214_134202950	Adora1
chr1	134199214	134202950	NM_001291928_utr3_0_0_chr1_134199215_r	0	-	NM_001291928	chr1_134199214_134202950	Adora1
chr1	134199214	134202950	NM_001039510_utr3_0_0_chr1_134199215_r	0	-	NM_001039510	chr1_134199214_134202950	Adora1
chr1	134199214	134202950	NM_001008533_utr3_0_0_chr1_134199215_r	0	-	NM_001008533	chr1_134199214_134202950	Adora1
chr1	33453807	33454085	NM_008922_utr3_0_0_chr1_33453808_r	0	-	NM_008922	chr1_33453807_33454085	Prim2
chr1	8359738	8363474	NM_001290390_utr3_0_0_chr1_8359739_r	0	-	NM_001290390	chr1_8359738_8363474	Sntg1
chr1	8359738	8363474	NM_001290393_utr3_0_0_chr1_8359739_r	0	-	NM_001290393	chr1_8359738_8363474	Sntg1
chr1	8359738	8363474	NM_001290392_utr3_0_0_chr1_8359739_r	0	-	NM_001290392	chr1_8359738_8363474	Sntg1
chr1	58753922	58759209	NM_207653_utr3_9_0_chr1_58753923_f	0	+	NM_207653	chr1_58753922_58759209	Cflar
chr1	25067475	25068167	NM_175642_utr3_0_0_chr1_25067476_r	0	-	NM_175642	chr1_25067475_25068167	Adgrb3
chr1	58753922	58759209	NM_001293804_utr3_9_0_chr1_58753923_f	0	+	NM_001293804	chr1_58753922_58759209	Cflar
chr1	8359738	8363474	NM_027671_utr3_0_0_chr1_8359739_r	0	-	NM_027671	chr1_8359738_8363474	Sntg1
chr1	58753922	58759209	NM_001289704_utr3_9_0_chr1_58753923_f	0	+	NM_001289704	chr1_58753922_58759209	Cflar
chr1	58732362	58733227	NM_009805_utr3_4_0_chr1_58732363_f	0	+	NM_009805	chr1_58732362_58733227	Cflar
chr1	75485824	75485951	NM_178884_utr3_0_0_chr1_75485825_r	0	-	NM_178884	chr1_75485824_75485951	Obsl1
chr1	125872884	125873861	NM_027677_utr3_1_0_chr1_125872885_f	0	+	NM_027677	chr1_125872884_125873861	Gpr39
chr1	75496337	75496499	NM_001310679_utr3_0_0_chr1_75496338_r	0	-	NM_001310679	chr1_75496337_75496499	Obsl1
chr1	175962305	175963827	NM_001195816_utr3_0_0_chr1_175962306_r	0	-	NM_001195816	chr1_175962305_175963827	Pld5
chr1	192891233	192897306	NM_181546_utr3_0_0_chr1_192891234_r	0	-	NM_181546	chr1_192891233_192897306	Syt14
chr1	167846761	167848733	NM_033652_utr3_7_0_chr1_167846762_f	0	+	NM_033652	chr1_167846761_167848733	Lmx1a
chr1	175962305	175963827	NM_176916_utr3_0_0_chr1_175962306_r	0	-	NM_176916	chr1_175962305_175963827	Pld5
chr1	192891233	192897306	NM_001301370_utr3_0_0_chr1_192891234_r	0	-	NM_001301370	chr1_192891233_192897306	Syt14
chr1	11974966	11975902	NM_001160369_utr3_13_0_chr1_11974967_f	0	+	NM_001160369	chr1_11974966_11975902	A830018L16Rik
chr1	10324718	10325123	NM_001289497_utr3_0_0_chr1_10324719_r	0	-	NM_001289497	chr1_10324718_10325123	Cpa6
chr1	11596334	11601821	NM_001160370_utr3_6_0_chr1_11596335_f	0	+	NM_001160370	chr1_11596334_11601821	A830018L16Rik
chr1	10324718	10325123	NM_177834_utr3_0_0_chr1_10324719_r	0	-	NM_177834	chr1_10324718_10325123	Cpa6
chr1	13625899	13626860	NM_145381_utr3_0_0_chr1_13625900_r	0	-	NM_145381	chr1_13625899_13626860	Lactb2
chr1	11596984	11601821	NM_001160371_utr3_7_0_chr1_11596985_f	0	+	NM_001160371	chr1_11596984_11601821	A830018L16Rik
chr1	11974966	11975902	NM_177173_utr3_13_0_chr1_11974967_f	0	+	NM_177173	chr1_11974966_11975902	A830018L16Rik
chr1	11974966	11975902	NM_001310451_utr3_12_0_chr1_11974967_f	0	+	NM_001310451	chr1_11974966_11975902	A830018L16Rik
chr1	20990688	20990841	NM_027974_utr3_10_0_chr1_20990689_f	0	+	NM_027974	chr1_20990688_20990841	Efhc1
chr1	32657541	32658569	NM_133235_utr3_8_0_chr1_32657542_f	0	+	NM_133235	chr1_32657541_32658569	Khdrbs2
chr1	38794508	38798028	NM_001029878_utr3_0_0_chr1_38794509_r	0	-	NM_001029878	chr1_38794508_38798028	Lonrf2
chr1	36699201	36700075	NM_146107_utr3_0_0_chr1_36699202_r	0	-	NM_146107	chr1_36699201_36700075	Actr1b
chr1	46373439	46373550	NM_001160386_utr3_65_0_chr1_46373440_f	0	+	NM_001160386	chr1_46373439_46373550	Dnah7b
chr1	43033320	43035449	NM_053107_utr3_1_0_chr1_43033321_f	0	+	NM_053107	chr1_43033320_43035449	Gpr45
chr1	54472999	54480705	NM_001163314_utr3_0_0_chr1_54473000_r	0	-	NM_001163314	chr1_54472999_54480705	Pgap1
chr1	53397001	53397106	NM_001252070_utr3_0_0_chr1_53397002_r	0	-	NM_001252070	chr1_53397001_53397106	Dnah7a
chr1	55751463	55754285	NM_001114663_utr3_5_0_chr1_55751464_f	0	+	NM_001114663	chr1_55751463_55754285	Plcl1
chr1	62637923	62642284	NM_001081050_utr3_22_0_chr1_62637924_f	0	+	NM_001081050	chr1_62637923_62642284	Pard3b
chr1	59870485	59878081	NM_007561_utr3_12_0_chr1_59870486_f	0	+	NM_007561	chr1_59870485_59878081	Bmpr2
chr1	70724942	70725132	NM_025728_utr3_7_0_chr1_70724943_f	0	+	NM_025728	chr1_70724942_70725132	Spag16
chr1	71243089	71243296	NM_175210_utr3_0_0_chr1_71243090_r	0	-	NM_175210	chr1_71243089_71243296	Abca12
chr1	72394722	72394953	NM_009533_utr3_20_0_chr1_72394723_f	0	+	NM_009533	chr1_72394722_72394953	Xrcc5
chr1	74435509	74439390	NM_001310662_utr3_0_0_chr1_74435510_r	0	-	NM_001310662	chr1_74435509_74439390	Usp37
chr1	68032186	68040040	NM_010154_utr3_0_0_chr1_68032187_r	0	-	NM_010154	chr1_68032186_68040040	Erbb4
chr1	70724942	70725132	NM_029160_utr3_16_0_chr1_70724943_f	0	+	NM_029160	chr1_70724942_70725132	Spag16
chr1	74435509	74439390	NM_176972_utr3_0_0_chr1_74435510_r	0	-	NM_176972	chr1_74435509_74439390	Usp37
chr1	80501067	80501706	NM_175291_utr3_0_0_chr1_80501068_r	0	-	NM_175291	chr1_80501067_80501706	Dock10
chr1	87049745	87050097	NM_001172157_utr3_21_0_chr1_87049746_f	0	+	NM_001172157	chr1_87049745_87050097	Dis3l2
chr1	89153351	89153793	NM_133816_utr3_5_0_chr1_89153352_f	0	+	NM_133816	chr1_89153351_89153793	Sh3bp4
chr1	88218424	88220002	NM_201644_utr3_4_0_chr1_88218425_f	0	+	NM_201644	chr1_88218424_88220002	Ugt1a10
chr1	88218424	88220002	NM_201641_utr3_4_0_chr1_88218425_f	0	+	NM_201641	chr1_88218424_88220002	Ugt1a10
chr1	84906704	84907277	NM_027921_utr3_0_0_chr1_84906705_r	0	-	NM_027921	chr1_84906704_84907277	Slc16a14
chr1	87049745	87050097	NM_153530_utr3_20_0_chr1_87049746_f	0	+	NM_153530	chr1_87049745_87050097	Dis3l2
chr1	93309436	93310091	NM_080850_utr3_0_0_chr1_93309437_r	0	-	NM_080850	chr1_93309436_93310091	Pask
chr1	106956797	106957080	NM_001199213_utr3_7_0_chr1_106956798_f	0	+	NM_001199213	chr1_106956797_106957080	Serpinb12
chr1	104994385	104995481	NM_011800_utr3_11_0_chr1_104994386_f	0	+	NM_011800	chr1_104994385_104995481	Cdh20
chr1	106956797	106957078	NM_027971_utr3_7_0_chr1_106956798_f	0	+	NM_027971	chr1_106956797_106957078	Serpinb12
chr1	110138355	110139903	NM_172853_utr3_11_0_chr1_110138356_f	0	+	NM_172853	chr1_110138355_110139903	Cdh7
chr1	110138355	110139903	NM_001316743_utr3_11_0_chr1_110138356_f	0	+	NM_001316743	chr1_110138355_110139903	Cdh7
chr1	110138355	110139903	NM_001316744_utr3_12_0_chr1_110138356_f	0	+	NM_001316744	chr1_110138355_110139903	Cdh7
chr1	123332137	123334248	NM_199021_utr3_0_0_chr1_123332138_r	0	-	NM_199021	chr1_123332137_123334248	Dpp10
chr1	118606994	118609462	NM_029709_utr3_36_0_chr1_118606995_f	0	+	NM_029709	chr1_118606994_118609462	Clasp1
chr1	118606994	118609462	NM_001293301_utr3_35_0_chr1_118606995_f	0	+	NM_001293301	chr1_118606994_118609462	Clasp1
chr1	118606994	118609462	NM_001293300_utr3_40_0_chr1_118606995_f	0	+	NM_001293300	chr1_118606994_118609462	Clasp1
chr1	131053700	131055091	NM_008551_utr3_0_0_chr1_131053701_r	0	-	NM_008551	chr1_131053700_131055091	Mapkapk2
chr1	132113546	132114935	NM_008795_utr3_0_0_chr1_132113547_r	0	-	NM_008795	chr1_132113546_132114935	Cdk18
chr1	127942610	127943876	NM_178690_utr3_23_0_chr1_127942611_f	0	+	NM_178690	chr1_127942610_127943876	Rab3gap1
chr1	130218180	130219278	NM_172485_utr3_27_0_chr1_130218181_f	0	+	NM_172485	chr1_130218180_130219278	Thsd7b
chr1	135262698	135262970	NM_145417_utr3_0_0_chr1_135262699_r	0	-	NM_145417	chr1_135262698_135262970	Rnpep
chr1	135262698	135262970	NM_001159624_utr3_0_0_chr1_135262699_r	0	-	NM_001159624	chr1_135262698_135262970	Rnpep
chr1	136268122	136270841	NM_001081360_utr3_0_0_chr1_136268123_r	0	-	NM_001081360	chr1_136268122_136270841	Camsap2
chr1	139493750	139494088	NM_009791_utr3_27_0_chr1_139493751_f	0	+	NM_009791	chr1_139493750_139494088	Aspm
chr1	140609712	140610261	NM_001081027_utr3_27_0_chr1_140609713_f	0	+	NM_001081027	chr1_140609712_140610261	Kcnt2
chr1	136268122	136270841	NM_001347109_utr3_0_0_chr1_136268123_r	0	-	NM_001347109	chr1_136268122_136270841	Camsap2
chr1	136268122	136270841	NM_001347110_utr3_0_0_chr1_136268123_r	0	-	NM_001347110	chr1_136268122_136270841	Camsap2
chr1	149829618	149830060	NM_008869_utr3_0_0_chr1_149829619_r	0	-	NM_008869	chr1_149829618_149830060	Pla2g4a
chr1	146902117	146902472	NM_153539_utr3_7_0_chr1_146902118_f	0	+	NM_153539	chr1_146902117_146902472	Brinp3
chr1	143603275	143608520	NM_145991_utr3_0_0_chr1_143603276_r	0	-	NM_145991	chr1_143603275_143608520	Cdc73
chr1	146902117	146902472	NM_001145807_utr3_7_0_chr1_146902118_f	0	+	NM_001145807	chr1_146902117_146902472	Brinp3
chr1	155202016	155203517	NM_021433_utr3_7_0_chr1_155202017_f	0	+	NM_021433	chr1_155202016_155203517	Stx6
chr1	153115670	153119261	NM_175460_utr3_10_0_chr1_153115671_f	0	+	NM_175460	chr1_153115670_153119261	Nmnat2
chr1	158245268	158246197	NM_207583_utr3_0_0_chr1_158245269_r	0	-	NM_207583	chr1_158245268_158246197	Brinp2
chr1	151884523	151893393	NM_197990_utr3_0_0_chr1_151884524_r	0	-	NM_197990	chr1_151884523_151893393	1700025G04Rik
chr1	157135182	157140710	NM_177644_utr3_0_0_chr1_157135183_r	0	-	NM_177644	chr1_157135182_157140710	Rasal2
chr1	165648944	165650177	NM_001038846_utr3_0_0_chr1_165648945_r	0	-	NM_001038846	chr1_165648944_165650177	Rcsd1
chr1	165648944	165650177	NM_178593_utr3_0_0_chr1_165648945_r	0	-	NM_178593	chr1_165648944_165650177	Rcsd1
chr1	160256571	160257251	NM_013862_utr3_0_0_chr1_160256572_r	0	-	NM_013862	chr1_160256571_160257251	Rabgap1l
chr1	175059075	175059743	NM_011880_utr3_0_0_chr1_175059076_r	0	-	NM_011880	chr1_175059075_175059743	Rgs7
chr1	170917593	170918149	NM_001160215_utr3_0_0_chr1_170917594_r	0	-	NM_001160215	chr1_170917593_170918149	Fcrla
chr1	170917593	170918149	NM_145141_utr3_0_0_chr1_170917594_r	0	-	NM_145141	chr1_170917593_170918149	Fcrla
chr1	175059075	175059794	NM_001199003_utr3_0_0_chr1_175059076_r	0	-	NM_001199003	chr1_175059075_175059794	Rgs7
chr1	175066616	175066640	NM_001199003_utr3_1_0_chr1_175066617_r	0	-	NM_001199003	chr1_175066616_175066640	Rgs7
chr1	175059075	175059794	NM_001347195_utr3_0_0_chr1_175059076_r	0	-	NM_001347195	chr1_175059075_175059794	Rgs7
