refseq_ncrna	transcript_biotype
NR_045306	processed_transcript
NR_073373	lincRNA
NR_033636	lincRNA
NR_040760	lincRNA
NR_015560	lincRNA
NR_027894	antisense
NR_015487	antisense
NR_040636	lincRNA
NR_131052	processed_transcript
NR_040746	antisense
NR_029433	sense_overlapping
NR_033430	lincRNA
NR_015551	antisense
NR_125722	lincRNA
NR_130155	lincRNA
NR_015596	antisense
NR_030694	antisense
NR_040445	lincRNA
NR_131979	antisense
NR_040401	lincRNA
NR_040444	antisense
NR_015602	processed_transcript
NR_028391	antisense
NR_046185	lincRNA
NR_136906	lincRNA
NR_136904	lincRNA
NR_027892	antisense
NR_045813	antisense
NR_015485	lincRNA
NR_036696	lincRNA
NR_030669	antisense
NR_045390	lincRNA
NR_045945	antisense
NR_046064	lincRNA
NR_045079	lincRNA
NR_045912	antisense
NR_122039	processed_transcript
NR_040732	antisense
NR_040639	lincRNA
NR_110517	antisense
NR_033571	antisense
NR_040417	lincRNA
NR_130173	lincRNA
NR_040507	lincRNA
NR_040652	processed_transcript
NR_045333	lincRNA
NR_040481	lincRNA
NR_003631	processed_transcript
NR_002874	antisense
NR_045984	lincRNA
NR_033536	antisense
NR_040521	processed_transcript
NR_040522	processed_transcript
NR_073374	processed_transcript
NR_027963	processed_transcript
NR_040301	lincRNA
NR_040302	lincRNA
NR_110455	lincRNA
NR_015492	lincRNA
NR_003632	processed_transcript
NR_045776	processed_transcript
NR_040368	antisense
NR_102276	lincRNA
NR_040510	processed_transcript
NR_033588	lincRNA
NR_015479	antisense
NR_040492	lincRNA
NR_045939	lincRNA
NR_137274	sense_overlapping
NR_015351	antisense
NR_015456	antisense
NR_037581	processed_transcript
NR_024085	processed_transcript
NR_108041	processed_transcript
NR_024331	antisense
NR_045300	antisense
NR_045075	lincRNA
NR_028107	antisense
NR_130644	antisense
NR_045509	lincRNA
NR_040690	lincRNA
NR_033493	antisense
NR_033141	lincRNA
NR_036456	lincRNA
NR_036457	lincRNA
NR_131031	processed_transcript
NR_040695	antisense
NR_040543	lincRNA
NR_045811	lincRNA
NR_040659	lincRNA
NR_110471	lincRNA
NR_040717	lincRNA
NR_110469	lincRNA
NR_015542	processed_transcript
NR_037993	sense_intronic
NR_046043	antisense
NR_077224	lincRNA
NR_045874	antisense
NR_002867	antisense
NR_045917	antisense
NR_038151	lincRNA
NR_046037	lincRNA
NR_015388	antisense
NR_038168	lincRNA
NR_126547	antisense
NR_102289	antisense
NR_045289	antisense
NR_045835	antisense
NR_131110	antisense
NR_110961	processed_transcript
NR_040547	lincRNA
NR_040557	lincRNA
NR_040486	lincRNA
NR_040490	lincRNA
NR_033147	processed_transcript
NR_001584	antisense
NR_040706	lincRNA
NR_126153	processed_transcript
NR_136927	processed_transcript
NR_046045	antisense
NR_126070	lincRNA
NR_045504	lincRNA
NR_046040	lincRNA
NR_015556	lincRNA
NR_038183	lincRNA
NR_108098	lincRNA
NR_028579	bidirectional_promoter_lncRNA
NR_040276	lincRNA
NR_040257	lincRNA
NR_040258	lincRNA
NR_045305	antisense
NR_040701	lincRNA
NR_137202	antisense
NR_040494	lincRNA
NR_040329	antisense
NR_040441	processed_transcript
NR_040705	lincRNA
NR_040439	lincRNA
NR_102393	processed_transcript
NR_045906	lincRNA
NR_126079	processed_transcript
NR_126329	lincRNA
NR_045366	antisense
NR_038045	lincRNA
NR_030715	lincRNA
NR_077223	lincRNA
NR_033543	antisense
NR_046017	antisense
NR_131254	lincRNA
NR_131098	lincRNA
NR_131099	lincRNA
NR_038182	antisense
NR_046026	lincRNA
NR_037997	lincRNA
NR_002870	antisense
NR_036593	lincRNA
NR_040691	antisense
NR_040674	lincRNA
NR_040450	lincRNA
NR_045738	lincRNA
NR_045847	lincRNA
NR_040562	antisense
NR_045827	antisense
NR_131126	antisense
NR_015613	lincRNA
NR_136920	lincRNA
NR_033467	lincRNA
NR_131111	antisense
NR_003634	processed_transcript
NR_131068	lincRNA
NR_015512	lincRNA
NR_029457	processed_transcript
NR_137283	processed_transcript
NR_045068	antisense
NR_015504	lincRNA
NR_033780	antisense
NR_131135	lincRNA
NR_045865	lincRNA
NR_126579	antisense
NR_001585	antisense
NR_110444	lincRNA
