Gm16793	NR_040376	chr8	-	35582502	35589020	35589020	35589020	3	35582502,35584327,35588837,	35583762,35584612,35589020,
B130034C11Rik	NR_040375	chr16	+	87496072	87504038	87504038	87504038	3	87496072,87501862,87503201,	87496309,87502194,87504038,
A230028O05Rik	NR_040374	chr16	+	25059638	25069058	25069058	25069058	3	25059638,25064712,25066555,	25059803,25064837,25069058,
Gm13003	NR_040443	chr4	-	137159081	137165066	137165066	137165066	4	137159081,137159840,137161814,137163173,	137159721,137160130,137161895,137165066,
Gm16023	NR_040441	chr4	-	155608296	155624755	155624755	155624755	3	155608296,155610413,155624358,	155610291,155610514,155624755,
Gm15708	NR_040432	chr5	+	144277060	144280514	144280514	144280514	3	144277060,144277682,144279056,	144277328,144277722,144280514,
Gm15787	NR_040431	chr5	-	110167507	110176504	110176504	110176504	3	110167507,110170262,110176316,	110168484,110170347,110176504,
Gm15408	NR_040429	chr5	+	149006961	149012776	149012776	149012776	4	149006961,149007885,149011573,149011998,	149007298,149008015,149011707,149012776,
Gm16796	NR_040367	chr2	-	170499356	170511927	170511927	170511927	3	170499356,170502690,170510838,	170499766,170504363,170511927,
1700060C20Rik	NR_036606	chr2	+	158192007	158195734	158195734	158195734	3	158192007,158194110,158195354,	158192059,158194268,158195734,
1700006F04Rik	NR_045621	chr14	+	119749226	119751564	119751564	119751564	3	119749226,119750111,119751290,	119749284,119750218,119751564,
1700011B04Rik	NR_045616	chr13	+	35181622	35188014	35188014	35188014	3	35181622,35184727,35187534,	35181695,35184822,35188014,
4930590L20Rik	NR_040604	chr1	-	140570175	140656402	140656402	140656402	4	140570175,140594927,140621393,140656327,	140570531,140594974,140621466,140656402,
Cep83os	NR_015524	chr10	-	94673492	94688613	94688613	94688613	3	94673492,94678330,94688232,	94677129,94678447,94688613,
2810429I04Rik	NR_015522	chr13	+	3478302	3492398	3492398	3492398	5	3478302,3479521,3479908,3485048,3492181,	3478352,3479574,3480001,3485220,3492398,
9130227L01Rik	NR_045837	chr1	+	55931240	55972098	55972098	55972098	6	55931240,55934285,55956834,55957644,55960984,55971079,	55931342,55934420,55956944,55958006,55961162,55972098,
Hotairm1	NR_131181	chr6	+	52158523	52162020	52162020	52162020	2	52158523,52161930,	52158686,52162020,
9530026F06Rik	NR_040483	chr1	+	61378431	61395904	61395904	61395904	5	61378431,61379009,61379995,61394107,61395630,	61378556,61379168,61380229,61394207,61395904,
Gm15910	NR_038023	chr10	+	120857628	120863328	120863328	120863328	3	120857628,120858947,120860600,	120857761,120859059,120863328,
Gm15915	NR_038017	chr10	-	93674217	93683322	93683322	93683322	6	93674217,93675515,93679249,93680317,93680448,93683211,	93674590,93675600,93679463,93680365,93680525,93683322,
4632428C04Rik	NR_033631	chr16	+	30008666	30021430	30021430	30021430	3	30008666,30016556,30019153,	30008730,30016643,30021430,
Gm5177	NR_033630	chr10	+	10605944	10616313	10616313	10616313	3	10605944,10606356,10612917,	10606183,10606506,10616313,
D5Ertd605e	NR_033625	chr5	+	147418619	147423044	147423044	147423044	3	147418619,147420629,147422231,	147418701,147420796,147423044,
1700128F08Rik	NR_033618	chr9	+	8221888	8241987	8241987	8241987	3	8221888,8225241,8241267,	8222171,8225348,8241987,
A630072M18Rik	NR_030699	chr5	+	20950988	20956398	20956398	20956398	1	20950988,	20956398,
Cyp2c53-ps	NR_033614	chr19	+	39229253	39274737	39274737	39274737	9	39229253,39241160,39241672,39250250,39251490,39253374,39271459,39273228,39274512,	39229460,39241323,39241781,39250411,39251666,39253446,39271647,39273370,39274737,
AY512931	NR_033588	chr8	-	45060701	45065418	45065418	45065418	5	45060701,45062968,45063180,45064924,45065093,	45062459,45063067,45063308,45065009,45065418,
Adh6-ps1	NR_033581	chr3	+	138374120	138388291	138388291	138388291	4	138374120,138381827,138383010,138385833,	138374207,138381929,138383152,138388291,
