V1	V2	V3	V4	V5	V6	refSeqTranscriptName	id	geneName
chr1	184527840	184528070	NR_040472_utr3_0_0_chr1_184527841_r	0	-	NR_040472	chr1_184527840_184528070	1700112H15Rik
chr1	184528836	184529068	NR_040472_utr3_1_0_chr1_184528837_r	0	-	NR_040472	chr1_184528836_184529068	1700112H15Rik
chr1	184530084	184530165	NR_040472_utr3_2_0_chr1_184530085_r	0	-	NR_040472	chr1_184530084_184530165	1700112H15Rik
chr1	184531703	184531814	NR_040472_utr3_3_0_chr1_184531704_r	0	-	NR_040472	chr1_184531703_184531814	1700112H15Rik
chr1	184554368	184554413	NR_040472_utr3_4_0_chr1_184554369_r	0	-	NR_040472	chr1_184554368_184554413	1700112H15Rik
chr1	184557612	184557691	NR_040472_utr3_5_0_chr1_184557613_r	0	-	NR_040472	chr1_184557612_184557691	1700112H15Rik
chr1	39842427	39842556	NR_040465_utr3_0_0_chr1_39842428_r	0	-	NR_040465	chr1_39842427_39842556	1700066B17Rik
chr1	39844017	39844103	NR_040465_utr3_1_0_chr1_39844018_r	0	-	NR_040465	chr1_39844017_39844103	1700066B17Rik
chr1	39845227	39845339	NR_040465_utr3_2_0_chr1_39845228_r	0	-	NR_040465	chr1_39845227_39845339	1700066B17Rik
chr1	39845664	39845846	NR_040465_utr3_3_0_chr1_39845665_r	0	-	NR_040465	chr1_39845664_39845846	1700066B17Rik
chr1	39847308	39847330	NR_040465_utr3_4_0_chr1_39847309_r	0	-	NR_040465	chr1_39847308_39847330	1700066B17Rik
chr1	73391384	73392400	NR_003202_utr3_0_0_chr1_73391385_r	0	-	NR_003202	chr1_73391384_73392400	Pinc
chr1	73397030	73397214	NR_003202_utr3_1_0_chr1_73397031_r	0	-	NR_003202	chr1_73397030_73397214	Pinc
chr1	73400203	73400276	NR_003202_utr3_2_0_chr1_73400204_r	0	-	NR_003202	chr1_73400203_73400276	Pinc
chr1	73404995	73405053	NR_003202_utr3_3_0_chr1_73404996_r	0	-	NR_003202	chr1_73404995_73405053	Pinc
chr1	73407340	73407569	NR_003202_utr3_4_0_chr1_73407341_r	0	-	NR_003202	chr1_73407340_73407569	Pinc
